movie title,sentiment,item_id
Toy Story (1995),0.9686605013951479,1
GoldenEye (1995),0.8384041658244167,2
Four Rooms (1995),0.6436434213697514,3
Get Shorty (1995),0.9417966875338536,4
Copycat (1995),0.9613800323294094,5
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0.8779529072382997,6
Twelve Monkeys (1995),0.9752160128078242,7
Babe (1995),0.8543927552390351,8
Dead Man Walking (1995),0.9341591633426879,9
Richard III (1995),0.9494558987864904,10
Seven (Se7en) (1995),0.9573702172481696,11
"Usual Suspects, The (1995)",0.9151798800907536,12
Mighty Aphrodite (1995),0.8688730528473078,13
"Postino, Il (1994)",0.9370315350322872,14
Mr. Holland's Opus (1995),0.9644735686248004,15
French Twist (Gazon maudit) (1995),0.8977067744512671,16
From Dusk Till Dawn (1996),0.7555498295154628,17
"White Balloon, The (1995)",0.9383137787524618,18
Antonia's Line (1995),0.9825520448537932,19
Angels and Insects (1995),0.9717114549029487,20
Muppet Treasure Island (1996),0.9606177801822492,21
Braveheart (1995),0.9799731011443548,22
Taxi Driver (1976),0.9050359628085564,23
Rumble in the Bronx (1995),0.9633911513841216,24
"Birdcage, The (1996)",0.8976918455456022,25
"Brothers McMullen, The (1995)",0.9258177010493456,26
Bad Boys (1995),0.8818373805791664,27
Apollo 13 (1995),0.9497449752231979,28
Batman Forever (1995),0.5489020794629569,29
Belle de jour (1967),0.8990490877400964,30
Crimson Tide (1995),0.5487338442889677,31
Crumb (1994),0.8390284698508929,32
Desperado (1995),0.9032420934903004,33
"Doom Generation, The (1995)",0.7722155231941263,34
Free Willy 2: The Adventure Home (1995),0.5886539408685318,35
Mad Love (1995),0.920462949731634,36
Nadja (1994),0.8939174680851333,37
"Net, The (1995)",0.4143224791722032,38
Strange Days (1995),0.9207539356388867,39
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0.9510213994844702,40
Billy Madison (1995),0.11460535665321678,41
Clerks (1994),0.8663933318732993,42
Disclosure (1994),0.8916655305043879,43
Dolores Claiborne (1994),0.8583224593407028,44
Eat Drink Man Woman (1994),0.984905765599534,45
Exotica (1994),0.9508788344425576,46
Ed Wood (1994),0.6852447944402565,47
Hoop Dreams (1994),0.9709504753838812,48
I.Q. (1994),0.9887142833041116,49
Star Wars (1977),0.9798155898374497,50
Legends of the Fall (1994),0.9207549932571788,51
"Madness of King George, The (1994)",0.8374434952300168,52
Natural Born Killers (1994),0.8905055446612957,53
Outbreak (1995),0.7431239809949323,54
